#
snoZ196	0
ZYX	831
ZYG11B	5008
ZW10	1248
ZSWIM8-AS1	0
ZSWIM8	4012
ZSCAN5A	2785
ZSCAN30	1673
ZSCAN26	0
ZSCAN22	559
ZSCAN16-AS1	1495
ZRANB2	15117
ZRANB1	3398
ZPR1	1533
ZNRF3-IT1	0
ZNRF3	6226
ZNRF2	2038
ZNRD2	517
ZNF888	933
ZNF883	880
ZNF878	0
ZNF875	7025
ZNF862	684
ZNF845	635
ZNF844	0
ZNF841	2870
ZNF836	0
ZNF83	5170
ZNF827	3890
ZNF823	482
ZNF821	929
ZNF816-ZNF321P	826
ZNF816	0
ZNF814	938
ZNF813	704
ZNF808	911
ZNF805	1847
ZNF8-ERVK3-1	0
ZNF8	0
ZNF799	0
ZNF783	1864
ZNF782	2144
ZNF781	44
ZNF780B	3587
ZNF780A	0
ZNF776	1061
ZNF775	105
ZNF773	44
ZNF772	0
ZNF77	742
ZNF768	1874
ZNF766	1019
ZNF765	1624
ZNF763	11
ZNF761	0
ZNF749	1567
ZNF747	1
ZNF738	1342
ZNF737	199
ZNF727	0
ZNF726	1051
ZNF724	293
ZNF720	1160
ZNF718	1880
ZNF714	4681
ZNF713	0
ZNF710	2600
ZNF71	0
ZNF709	0
ZNF705A	1
ZNF704	8285
ZNF700	0
ZNF695	0
ZNF670-ZNF695	48
ZNF670	0
ZNF664	0
ZNF662	0
ZNF655	0
ZNF653	2
ZNF649	566
ZNF638	13048
ZNF626	0
ZNF625-ZNF20	239
ZNF625	0
ZNF621	6591
ZNF620	1043
ZNF619	515
ZNF616	690
ZNF611	2254
ZNF609	11473
ZNF608	2110
ZNF607	30
ZNF596	539
ZNF592	3378
ZNF587B	0
ZNF587	4390
ZNF586	2981
ZNF585B	264
ZNF585A	758
ZNF582	288
ZNF581	1221
ZNF580	0
ZNF578	7
ZNF577	594
ZNF576	0
ZNF571-AS1	4
ZNF564	0
ZNF563	72
ZNF562	4147
ZNF561	2197
ZNF559-ZNF177	466
ZNF559	0
ZNF556	5
ZNF555	434
ZNF551	0
ZNF548	0
ZNF547	0
ZNF544	0
ZNF540	269
ZNF536	4099
ZNF530	1566
ZNF525	635
ZNF521	2967
ZNF516	7279
ZNF514	4587
ZNF512	0
ZNF511-PRAP1	62
ZNF511	13
ZNF510	2246
ZNF506	0
ZNF503	53
ZNF500	945
ZNF497	0
ZNF493	503
ZNF490	370
ZNF483	5738
ZNF473	1159
ZNF468	0
ZNF451	8782
ZNF446	821
ZNF444	1640
ZNF443	0
ZNF442	136
ZNF439	22
ZNF436-AS1	426
ZNF433-AS1	0
ZNF433	224
ZNF432	1211
ZNF431	3760
ZNF425	273
ZNF423	2822
ZNF420	992
ZNF419	0
ZNF418	85
ZNF417	0
ZNF415	5
ZNF410	7
ZNF41	1568
ZNF397	2289
ZNF385C	200
ZNF37A	0
ZNF367	3584
ZNF365	0
ZNF362	1552
ZNF358	241
ZNF354B	1821
ZNF354A	68
ZNF35	916
ZNF347	109
ZNF346-IT1	0
ZNF346	6019
ZNF343	17
ZNF337-AS1	728
ZNF324	928
ZNF320	2633
ZNF32-AS3	172
ZNF32-AS2	0
ZNF32-AS1	0
ZNF295-AS1	69
ZNF287	329
ZNF286A	0
ZNF285	0
ZNF284	134
ZNF280D	925
ZNF28	113
ZNF277	2392
ZNF268	997
ZNF263	2060
ZNF256	721
ZNF254	4138
ZNF248	6114
ZNF236-DT	289
ZNF235	2673
ZNF23	0
ZNF229	0
